step,reward,mean_length,kl,step_time,grad_norm,lr
1,0.6446,248.4,,73.27,0.09277,
2,0.6369,260.0,,102.9,0.09668,4.762e-06
3,0.6579,282.2,0.0006545,98.17,0.09473,9.524e-06
4,0.6648,252.5,0.0005563,75.46,0.1416,1.429e-05
5,0.6539,255.7,0.0006931,80.23,0.1143,1.905e-05
6,0.6375,234.5,0.0005804,74.4,0.127,2.381e-05
7,0.6434,277.2,0.0005246,85.01,0.105,2.857e-05
8,0.653,248.0,0.0008789,98.22,0.09961,3.333e-05
9,0.647,278.4,0.00145,85.1,0.08789,3.81e-05
10,0.6562,240.6,0.003059,75.65,0.167,4.286e-05
11,0.6611,245.0,0.008849,72.11,0.1084,4.762e-05
12,0.6359,309.8,0.006424,113.3,0.1011,5.238e-05
13,0.6739,279.4,0.00792,95.89,0.1069,5.714e-05
14,0.6565,256.3,0.006889,87.26,0.1162,6.19e-05
15,0.6965,347.9,0.008165,111.7,0.0918,6.667e-05
16,0.6705,302.6,0.009432,105.1,0.1113,7.143e-05
17,0.7167,327.4,0.01789,95.26,0.08594,7.619e-05
18,0.6935,275.1,0.02317,90.28,0.106,8.095e-05
19,0.7181,320.9,0.02231,116.5,0.104,8.571e-05
20,0.7389,339.1,0.01561,104.9,0.08496,9.048e-05
21,0.7429,359.4,0.02874,112.7,0.09766,9.524e-05
22,0.7466,353.9,0.03587,108.4,0.09668,0.0001
23,0.7358,383.9,0.03475,124.3,0.08838,0.0001
24,0.7401,379.4,0.04585,124.0,0.1167,0.0001
25,0.7413,371.9,0.03435,123.7,0.07373,9.999e-05
26,0.7576,352.2,0.04313,98.08,0.1108,9.999e-05
27,0.732,383.4,0.03703,124.6,0.09277,9.999e-05
28,0.7217,370.9,0.03815,117.0,0.0874,9.998e-05
29,0.7481,386.9,0.03276,123.9,0.07324,9.997e-05
30,0.7533,328.9,0.03609,100.5,0.06982,9.996e-05
31,0.7589,352.1,0.03596,111.2,0.07715,9.995e-05
32,0.7489,366.4,0.03177,105.8,0.07031,9.994e-05
33,0.7711,363.8,0.02836,125.5,0.06543,9.993e-05
34,0.7228,336.9,0.05297,108.0,0.09521,9.992e-05
35,0.7191,364.9,0.02962,120.8,0.08447,9.99e-05
36,0.7454,342.7,0.03327,103.1,0.08789,9.989e-05
37,0.7334,331.6,0.03427,97.28,0.07812,9.987e-05
38,0.7157,314.1,0.03675,107.1,0.08203,9.985e-05
39,0.7569,372.2,0.01981,119.9,0.07324,9.983e-05
40,0.7213,333.5,0.03316,98.85,0.1104,9.981e-05
41,0.75,331.5,0.03585,99.57,0.07373,9.979e-05
42,0.7544,322.3,0.03137,105.5,0.07275,9.977e-05
43,0.7539,351.6,0.03129,105.1,0.09912,9.974e-05
44,0.7336,290.6,0.05665,88.17,0.1641,9.972e-05
45,0.7581,327.8,0.04015,100.7,0.09375,9.969e-05
46,0.752,337.8,0.08695,95.91,0.3008,9.967e-05
47,0.7338,308.2,0.0271,94.89,0.0835,9.964e-05
48,0.7082,329.1,0.03765,108.7,0.08203,9.961e-05
49,0.7664,308.0,0.03814,93.33,0.08691,9.958e-05
50,0.7254,292.6,0.03657,90.33,0.09424,9.954e-05
51,0.7512,280.7,0.03781,81.59,0.08008,9.951e-05
52,0.7516,289.1,0.04959,81.51,0.08496,9.948e-05
53,0.7272,290.0,0.0458,88.6,0.0918,9.944e-05
54,0.7402,289.6,0.04459,88.05,0.07471,9.941e-05
55,0.7378,295.6,0.05046,92.43,0.08545,9.937e-05
56,0.7215,299.8,0.04982,99.57,0.08008,9.933e-05
57,0.7459,304.8,0.07616,85.25,0.1465,9.929e-05
58,0.742,300.9,0.0526,92.31,0.09473,9.925e-05
59,0.7204,306.4,0.04742,109.1,0.07764,9.921e-05
60,0.7563,347.5,0.06748,108.7,0.07617,9.916e-05
61,0.7432,403.3,0.04414,123.9,0.09961,9.912e-05
62,0.7506,369.4,0.06197,124.9,0.09375,9.907e-05
63,0.7294,275.8,0.07582,85.72,0.1328,9.902e-05
64,0.7528,335.6,0.04991,125.8,0.0752,9.898e-05
65,0.731,356.8,0.06253,125.1,0.07471,9.893e-05
66,0.7559,345.5,0.05921,103.8,0.08008,9.888e-05
67,0.7439,348.9,0.0703,107.6,0.09131,9.883e-05
68,0.7582,362.2,0.05412,126.4,0.07129,9.877e-05
69,0.7556,331.4,0.04755,109.1,0.126,9.872e-05
70,0.7228,308.6,0.06727,118.4,0.08447,9.866e-05
71,0.7604,291.8,0.0731,88.68,0.08203,9.861e-05
72,0.7536,339.9,0.07691,98.61,0.08838,9.855e-05
73,0.752,313.9,0.05616,91.86,0.08008,9.849e-05
74,0.7611,336.9,0.05482,98.01,0.08057,9.843e-05
75,0.7266,316.9,0.06158,87.72,0.1016,9.837e-05
76,0.7492,291.9,0.06434,86.97,0.06885,9.831e-05
77,0.727,299.4,0.06614,106.6,0.08838,9.825e-05
78,0.751,317.9,0.06446,98.95,0.0835,9.819e-05
79,0.7472,303.4,0.1828,92.79,0.416,9.812e-05
80,0.7338,292.4,0.0826,98.41,0.08008,9.805e-05
81,0.7161,301.2,0.2212,104.5,0.582,9.799e-05
82,0.6889,344.2,0.09228,116.1,0.08301,9.792e-05
83,0.7139,302.1,0.1069,103.0,0.07666,9.785e-05
84,0.7184,438.1,0.1116,126.3,0.07959,9.778e-05
85,0.6884,382.4,0.1318,126.5,0.1123,9.771e-05
86,0.6879,398.3,0.1282,127.2,0.07861,9.763e-05
87,0.6928,371.7,0.2796,120.0,0.5977,9.756e-05
88,0.6971,429.9,0.119,125.1,0.07471,9.749e-05
89,0.6987,466.8,0.1373,127.2,0.07129,9.741e-05
90,0.6685,439.4,0.1521,123.4,0.07666,9.733e-05
91,0.699,408.5,0.1645,123.8,0.0791,9.725e-05
92,0.7102,468.4,0.1433,127.3,0.07666,9.717e-05
93,0.7173,485.0,0.1439,128.6,0.09375,9.709e-05
94,0.7131,437.6,0.1413,128.7,0.07227,9.701e-05
95,0.6988,462.7,0.1253,126.4,0.1533,9.693e-05
96,0.6921,444.8,0.1325,127.0,0.1079,9.685e-05
97,0.7023,462.9,0.117,127.8,0.08643,9.676e-05
98,0.7083,398.6,0.1156,124.7,0.07715,9.667e-05
99,0.7311,392.8,0.1209,124.0,0.07324,9.659e-05
100,0.7221,353.9,0.1294,110.3,0.1143,9.65e-05
101,0.7309,376.7,0.1048,115.9,0.07617,9.641e-05
102,0.7277,311.2,0.1026,109.0,0.09473,9.632e-05
103,0.7202,315.8,0.09983,93.81,0.08838,9.623e-05
104,0.736,375.2,0.07694,125.6,0.0708,9.614e-05
105,0.7556,320.7,0.07642,100.1,0.08203,9.604e-05
106,0.7456,309.7,0.08522,98.86,0.08984,9.595e-05
107,0.7368,290.8,0.08307,91.4,0.08643,9.585e-05
108,0.7547,294.0,0.08002,99.58,0.08691,9.576e-05
109,0.7293,295.8,0.07191,91.92,0.09229,9.566e-05
110,0.7506,306.9,0.07587,95.84,0.08447,9.556e-05
111,0.7483,306.2,0.09253,96.41,0.08936,9.546e-05
112,0.7646,320.8,0.08928,96.6,0.1011,9.536e-05
113,0.752,323.2,0.09036,101.5,0.09668,9.526e-05
114,0.7841,299.2,0.08425,87.27,0.1084,9.515e-05
115,0.75,296.1,0.1085,89.9,0.08154,9.505e-05
116,0.7578,297.6,0.1083,89.09,0.09424,9.494e-05
117,0.7709,348.6,0.1097,109.8,0.09912,9.484e-05
118,0.7755,334.4,0.1071,92.18,0.08789,9.473e-05
119,0.7671,336.4,0.1239,106.7,0.1074,9.462e-05
120,0.7853,356.2,0.1217,113.5,0.09082,9.451e-05
121,0.7843,294.1,0.1482,97.05,0.09277,9.44e-05
122,0.7698,334.4,0.1571,108.7,0.104,9.429e-05
123,0.8035,318.2,0.1564,99.44,0.1069,9.418e-05
124,0.7814,364.2,0.1443,116.3,0.1001,9.406e-05
125,0.7752,305.8,0.1883,110.3,0.1299,9.395e-05
126,0.769,348.6,0.1432,123.1,0.1138,9.383e-05
127,0.8026,335.9,0.1395,103.9,0.08789,9.372e-05
128,0.7634,352.6,0.1347,121.5,0.09229,9.36e-05
129,0.7921,357.5,0.1434,114.5,0.09375,9.348e-05
130,0.7788,413.2,0.1047,126.5,0.0918,9.336e-05
131,0.763,363.4,0.1027,112.1,0.07422,9.324e-05
132,0.7775,336.2,0.1035,104.4,0.07031,9.312e-05
133,0.7658,343.4,0.1224,120.9,0.08154,9.3e-05
134,0.7711,355.4,0.1022,112.4,0.07373,9.287e-05
135,0.7605,392.5,0.09144,122.9,0.08643,9.275e-05
136,0.7364,415.0,0.0787,126.0,0.06494,9.262e-05
137,0.7543,398.2,0.08129,127.7,0.06641,9.25e-05
138,0.7489,327.1,0.1097,122.7,0.07178,9.237e-05
139,0.7468,343.3,0.1045,112.1,0.07715,9.224e-05
140,0.767,387.7,0.07587,112.0,0.06494,9.211e-05
141,0.7733,379.4,0.08124,110.2,0.06885,9.198e-05
142,0.7571,365.8,0.0981,105.7,0.07129,9.185e-05
143,0.7444,394.9,0.09701,127.0,0.09473,9.172e-05
144,0.7621,320.7,0.1224,104.1,0.09766,9.158e-05
145,0.757,346.4,0.08638,109.1,0.07422,9.145e-05
146,0.751,324.7,0.1075,94.51,0.08496,9.131e-05
147,0.7683,361.2,0.09711,109.2,0.06689,9.118e-05
148,0.7855,331.5,0.1099,109.6,0.0791,9.104e-05
149,0.7743,337.9,0.1135,104.2,0.06885,9.09e-05
150,0.7641,355.6,0.0982,115.8,0.0708,9.076e-05
151,0.7561,327.9,0.1105,113.0,0.08008,9.062e-05
152,0.7524,354.2,0.117,125.3,0.07129,9.048e-05
153,0.7668,299.1,0.1275,93.58,0.07764,9.034e-05
154,0.7851,324.8,0.1201,99.52,0.06543,9.019e-05
155,0.7659,349.8,0.1026,101.1,0.07373,9.005e-05
156,0.7661,371.6,0.1086,120.9,0.08545,8.991e-05
157,0.764,328.8,0.1242,117.4,0.08838,8.976e-05
158,0.7658,332.2,0.1202,101.9,0.07324,8.961e-05
159,0.7786,355.1,0.1193,119.8,0.08203,8.946e-05
160,0.7695,320.1,0.1432,105.6,0.0752,8.932e-05
161,0.7875,349.2,0.1332,106.2,0.0708,8.917e-05
162,0.7705,365.2,0.1281,110.5,0.08057,8.902e-05
163,0.7865,349.1,0.1201,107.6,0.0708,8.886e-05
164,0.7789,340.4,0.123,108.1,0.07666,8.871e-05
165,0.7583,346.6,0.1094,111.6,0.07227,8.856e-05
166,0.7903,359.7,0.1097,113.1,0.08105,8.841e-05
167,0.7982,363.1,0.1076,115.1,0.0708,8.825e-05
168,0.7758,382.5,0.1044,118.1,0.0708,8.809e-05
169,0.7682,362.8,0.1075,105.5,0.0791,8.794e-05
170,0.773,352.6,0.1067,102.1,0.127,8.778e-05
171,0.7694,369.5,0.1026,123.4,0.08008,8.762e-05
172,0.7811,383.1,0.08938,111.8,0.06982,8.746e-05
173,0.7526,348.0,0.09161,127.3,0.08105,8.73e-05
174,0.7703,385.6,0.08884,127.7,0.06055,8.714e-05
175,0.7624,340.6,0.1004,112.9,0.06177,8.698e-05
176,0.7552,390.1,0.08325,127.2,0.06934,8.682e-05
177,0.7859,381.3,0.08714,107.4,0.06982,8.665e-05
178,0.7732,394.4,0.08207,119.8,0.0625,8.649e-05
179,0.7434,374.7,0.08197,125.6,0.06543,8.632e-05
180,0.7688,360.9,0.08996,104.2,0.07275,8.616e-05
181,0.7606,342.9,0.09379,118.4,0.07373,8.599e-05
182,0.7792,354.3,0.1134,116.5,0.1245,8.582e-05
183,0.7961,367.5,0.08028,106.6,0.06543,8.565e-05
184,0.7476,337.1,0.09883,95.79,0.06396,8.548e-05
185,0.7525,404.4,0.0673,120.2,0.08203,8.531e-05
186,0.7529,339.2,0.09641,104.1,0.06299,8.514e-05
187,0.7702,362.6,0.08961,106.4,0.07324,8.497e-05
188,0.7577,329.3,0.09485,96.2,0.1328,8.48e-05
189,0.752,413.8,0.07506,123.9,0.06494,8.462e-05
190,0.7699,329.8,0.09152,105.2,0.09082,8.445e-05
191,0.7625,371.5,0.08415,119.9,0.0791,8.427e-05
192,0.7693,366.9,0.08528,108.7,0.06641,8.41e-05
193,0.769,363.2,0.08784,111.8,0.07275,8.392e-05
194,0.7683,367.2,0.08337,110.7,0.06641,8.374e-05
195,0.7873,399.0,0.06712,117.6,0.0625,8.356e-05
196,0.763,369.6,0.08798,123.6,0.07422,8.338e-05
197,0.7902,376.3,0.06329,116.3,0.06738,8.32e-05
198,0.7346,403.6,0.06342,118.2,0.06836,8.302e-05
199,0.7818,347.0,0.0817,95.21,0.06299,8.284e-05
200,0.7989,385.0,0.07323,117.6,0.07129,8.266e-05
201,0.7726,382.7,0.0736,119.2,0.07178,8.248e-05
202,0.7897,320.9,0.09308,104.8,0.07715,8.229e-05
203,0.7893,359.0,0.0845,103.4,0.0625,8.211e-05
204,0.7988,386.4,0.08937,110.8,0.07373,8.192e-05
205,0.8042,381.6,0.08118,105.7,0.06738,8.174e-05
206,0.7924,370.5,0.08209,119.9,0.06934,8.155e-05
207,0.7956,368.3,0.08848,127.2,0.08887,8.136e-05
208,0.8031,332.6,0.1067,98.6,0.06934,8.117e-05
209,0.7884,315.6,0.5204,103.5,3.016,8.099e-05
210,0.8103,373.7,0.09572,105.5,0.07324,8.08e-05
211,0.7836,300.5,0.09882,88.8,0.0874,8.061e-05
212,0.7669,278.4,0.145,107.7,0.1021,8.041e-05
213,0.7747,293.2,0.1466,101.2,0.1465,8.022e-05
214,0.7411,228.9,0.1688,74.81,0.1128,8.003e-05
215,0.7441,258.5,0.1536,95.04,0.09717,7.984e-05
216,0.7466,267.8,0.1324,100.4,0.0918,7.964e-05
217,0.7577,274.9,0.1391,83.97,0.08008,7.945e-05
218,0.7488,279.6,0.1508,95.56,0.1021,7.925e-05
219,0.7401,268.4,0.1553,95.41,0.1016,7.906e-05
220,0.7806,305.3,0.141,100.1,0.08545,7.886e-05
221,0.7398,320.9,0.1124,110.4,0.09277,7.866e-05
222,0.7864,341.7,0.1122,125.2,0.08545,7.846e-05
223,0.751,313.2,0.1418,104.7,0.09326,7.827e-05
224,0.7392,325.8,0.1167,106.1,0.08447,7.807e-05
225,0.7784,298.1,0.1375,91.9,0.08203,7.787e-05
226,0.7712,358.8,0.1179,125.5,0.07861,7.767e-05
227,0.7543,301.4,0.124,98.02,0.09473,7.746e-05
228,0.7387,352.5,0.1128,102.7,0.08105,7.726e-05
229,0.7643,309.8,0.1273,90.96,0.09277,7.706e-05
230,0.7702,332.2,0.105,121.3,0.07959,7.686e-05
231,0.7511,340.4,0.1135,95.67,0.09033,7.665e-05
232,0.7434,332.1,0.13,123.6,0.1455,7.645e-05
233,0.7763,344.8,0.1112,111.0,0.08301,7.624e-05
234,0.7632,298.0,0.2041,91.27,0.2637,7.604e-05
235,0.7349,305.5,0.1224,108.6,0.07959,7.583e-05
236,0.7582,354.4,0.1069,122.9,0.07666,7.562e-05
237,0.7359,298.2,0.1087,102.9,0.08936,7.542e-05
238,0.7541,272.9,0.1136,102.1,0.08447,7.521e-05
239,0.737,250.7,0.1194,87.06,0.08301,7.5e-05
240,0.7555,290.5,0.1188,107.5,0.09717,7.479e-05
241,0.7595,302.1,0.1125,112.4,0.1021,7.458e-05
242,0.7412,258.6,0.1903,88.67,0.1719,7.437e-05
243,0.7631,248.1,0.1375,85.26,0.08594,7.416e-05
244,0.7309,229.8,0.1554,68.32,0.1118,7.395e-05
245,0.75,253.8,0.1246,85.73,0.09082,7.374e-05
246,0.7319,251.4,0.1277,87.15,0.1055,7.352e-05
247,0.7433,264.9,0.1114,75.57,0.08984,7.331e-05
248,0.7362,256.4,0.1152,79.81,0.08838,7.31e-05
249,0.7329,266.8,0.1326,82.01,0.1064,7.288e-05
250,0.7327,261.0,0.1109,83.04,0.08301,7.267e-05
251,0.7561,282.4,0.1264,87.23,0.0791,7.245e-05
252,0.7618,257.6,0.1618,80.96,0.0874,7.224e-05
253,0.8039,267.9,0.143,83.14,0.07764,7.202e-05
254,0.7923,273.9,0.1652,83.91,0.1016,7.18e-05
255,0.8041,268.6,0.147,81.95,0.08057,7.159e-05
256,0.786,312.2,0.1417,107.7,0.07129,7.137e-05
257,0.7746,340.8,0.1251,123.3,0.09521,7.115e-05
258,0.7945,306.3,0.1525,115.7,0.08203,7.093e-05
259,0.7665,257.6,0.1774,92.15,0.0918,7.071e-05
260,0.768,259.8,0.1432,81.22,0.07568,7.049e-05
261,0.8195,275.6,0.2251,78.72,0.2754,7.027e-05
262,0.7766,294.8,0.168,90.22,0.08398,7.005e-05
263,0.7824,320.1,0.1849,125.6,0.09619,6.983e-05
264,0.7749,294.6,0.1537,97.73,0.08398,6.961e-05
265,0.7888,316.7,0.1718,105.3,0.07812,6.938e-05
266,0.7879,314.0,0.1606,109.5,0.1045,6.916e-05
267,0.8227,330.0,0.1751,108.4,0.07812,6.894e-05
268,0.8184,305.8,0.2128,107.5,0.1108,6.872e-05
269,0.8144,314.6,0.169,127.5,0.08398,6.849e-05
270,0.8089,282.7,0.1944,93.95,0.1001,6.827e-05
271,0.8073,311.2,0.1744,99.46,0.09033,6.804e-05
272,0.8124,312.1,0.1685,103.1,0.09717,6.782e-05
273,0.7681,280.5,0.1845,116.1,0.1011,6.759e-05
274,0.7971,274.4,0.1734,86.48,0.09912,6.737e-05
275,0.7715,289.4,0.1858,93.04,0.08203,6.714e-05
276,0.7878,247.4,0.1792,92.86,0.09619,6.691e-05
277,0.7908,272.4,0.1518,83.55,0.08447,6.668e-05
278,0.7624,256.6,0.1769,84.6,0.08643,6.646e-05
279,0.7691,252.7,0.1808,77.62,0.07715,6.623e-05
280,0.7658,268.8,0.1781,79.41,0.08105,6.6e-05
281,0.7662,255.4,0.1664,99.07,0.1084,6.577e-05
282,0.776,247.0,0.1636,72.75,0.08643,6.554e-05
283,0.7927,242.6,0.1718,79.82,0.1021,6.531e-05
284,0.7916,272.9,0.2203,96.23,0.1426,6.508e-05
285,0.7963,242.7,0.159,72.54,0.0791,6.485e-05
286,0.7931,242.7,0.1739,73.22,0.08008,6.462e-05
287,0.7844,247.1,0.1753,74.25,0.07666,6.439e-05
288,0.7598,246.9,0.1549,96.32,0.07715,6.416e-05
289,0.7955,246.3,0.1683,75.25,0.07373,6.393e-05
290,0.797,227.9,0.1859,68.26,0.07715,6.37e-05
291,0.7874,269.4,0.1348,94.92,0.1089,6.346e-05
292,0.8336,237.1,0.1895,75.11,0.07764,6.323e-05
293,0.7935,249.1,0.3991,81.78,0.9609,6.3e-05
294,0.7986,323.9,0.1156,116.7,0.07959,6.277e-05
295,0.7743,338.9,0.1126,122.4,0.08447,6.253e-05
296,0.7401,387.4,0.1078,120.1,0.07471,6.23e-05
297,0.7762,394.9,0.1201,122.0,0.08203,6.206e-05
298,0.74,452.8,0.1138,129.3,0.0791,6.183e-05
299,0.7299,485.8,0.1033,128.8,0.06445,6.16e-05
300,0.7315,489.6,0.09658,128.1,0.06348,6.136e-05
301,0.7255,463.7,0.1239,128.4,0.08984,6.113e-05
302,0.7351,449.3,0.1138,126.1,0.06982,6.089e-05
303,0.7225,460.3,0.1094,130.4,0.06348,6.066e-05
304,0.7417,475.6,0.1235,127.9,0.07275,6.042e-05
305,0.7331,491.2,0.1171,127.0,0.06641,6.018e-05
306,0.755,447.4,0.1339,126.8,0.07959,5.995e-05
307,0.7224,486.3,0.1125,129.3,0.06885,5.971e-05
308,0.7337,465.4,0.1123,145.5,0.06543,5.947e-05
309,0.7429,466.4,0.1182,128.0,0.07324,5.924e-05
310,0.7387,409.4,0.1242,129.8,0.07617,5.9e-05
311,0.7251,451.2,0.1047,136.0,0.07129,5.876e-05
312,0.791,383.5,0.1269,122.7,0.07666,5.852e-05
313,0.7723,447.2,0.1205,125.1,0.08203,5.829e-05
314,0.7507,434.4,0.1429,126.1,0.1348,5.805e-05
315,0.7643,362.1,0.1151,112.3,0.0752,5.781e-05
316,0.7509,365.9,0.1304,111.0,0.07178,5.757e-05
317,0.7799,405.4,0.109,126.3,0.08105,5.733e-05
318,0.759,349.5,0.1137,116.6,0.07129,5.709e-05
319,0.7721,346.8,0.1192,105.8,0.07715,5.686e-05
320,0.7445,319.8,0.1391,97.31,0.0835,5.662e-05
321,0.7421,297.7,0.1224,99.82,0.09131,5.638e-05
322,0.7392,320.6,0.1203,114.1,0.1299,5.614e-05
323,0.7392,303.7,0.1355,104.0,0.0835,5.59e-05
324,0.7588,328.4,0.1376,111.2,0.09082,5.566e-05
325,0.7689,333.2,0.09038,105.6,0.07324,5.542e-05
326,0.7639,343.1,0.1013,107.4,0.08447,5.518e-05
327,0.7605,341.8,0.1314,109.5,0.08643,5.494e-05
328,0.7564,312.0,0.1305,92.4,0.07764,5.47e-05
329,0.7441,288.9,0.1247,94.45,0.07471,5.446e-05
330,0.7519,317.8,0.1255,99.92,0.08203,5.422e-05
331,0.7404,306.4,0.1117,94.85,0.08398,5.398e-05
332,0.7903,316.1,0.1174,103.4,0.06787,5.374e-05
333,0.7663,290.6,0.1281,91.88,0.08252,5.35e-05
334,0.7713,320.2,0.1144,108.5,0.07568,5.326e-05
335,0.77,341.6,0.1196,115.4,0.07617,5.301e-05
